Country,Code,Year,Homicide_Count,Homicide_Rate
Afghanistan,AFG,2009,1115.0,4.0715265
Afghanistan,AFG,2010,983.0,3.4870927
Afghanistan,AFG,2011,1231.0,4.208668
Afghanistan,AFG,2012,1948.0,6.393913
Afghanistan,AFG,2015,3367.0,9.975262
Afghanistan,AFG,2016,2318.0,6.6924186
Afghanistan,AFG,2017,2424.0,6.8006945
Afghanistan,AFG,2018,2474.0,6.7435727
Afghanistan,AFG,2019,2712.0,7.180397
Afghanistan,AFG,2020,2570.0,6.594439
Afghanistan,AFG,2021,1613.0,4.0224977
Africa (UN),,2000,111753.77,13.645948
Africa (UN),,2001,114077.99,13.589387
Africa (UN),,2002,116395.555,13.524751
Africa (UN),,2003,115552.42,13.095996
Africa (UN),,2004,116268.305,12.850431
Africa (UN),,2005,117927.734,12.7091255
Africa (UN),,2006,121433.94,12.759147
Africa (UN),,2007,122598.22,12.555357
Africa (UN),,2008,125230.18,12.498256
Africa (UN),,2009,126907.01,12.342634
Africa (UN),,2010,129018.16,12.226504
Africa (UN),,2011,133067.61,12.290624
Africa (UN),,2012,137077.31,12.340445
Africa (UN),,2013,140922.72,12.359684
Africa (UN),,2014,146094.92,12.483554
Africa (UN),,2015,148535.66,12.366553
Africa (UN),,2016,151978.38,12.334789
Africa (UN),,2017,158106.98,12.51506
Africa (UN),,2018,159546.72,12.317689
Africa (UN),,2019,163489.23,12.313706
Africa (UN),,2020,164188.8,12.066697
Africa (UN),,2021,176380.38,12.655763
Albania,ALB,1992,130.0,3.9349356
Albania,ALB,1993,191.0,5.786633
Albania,ALB,1994,112.0,3.400123
Albania,ALB,1995,259.0,7.8858495
Albania,ALB,1996,272.0,8.314658
Albania,ALB,1997,1334.0,40.999237
Albania,ALB,1998,660.0,20.419683
Albania,ALB,1999,532.0,16.582197
Albania,ALB,2000,131.0,4.116881
Albania,ALB,2001,220.0,6.9761276
Albania,ALB,2002,216.0,6.9152064
Albania,ALB,2003,166.0,5.3669734
Albania,ALB,2004,131.0,4.27738
Albania,ALB,2005,154.0,5.078094
Albania,ALB,2006,95.0,3.1630955
Albania,ALB,2007,105.0,3.5281267
Albania,ALB,2008,93.0,3.1507385
Albania,ALB,2009,85.0,2.900488
